#,#,#,2,2,2,2,2,2,2,2,2,2,2,2,7,8,8
#,#,#,Name,Axis name - X,Axis length - X,Axis size - X,Axis spacing - X,Axis name - Y,Axis length - Y,Axis size - Y,Axis spacing - Y,Axis name - Z,Layer type - Z,NM-points ratio - Z,Maximum depth[1],Distance[1],Distance[2]
#,#,#,<no unit>,<no unit>,µm,points,µm,<no unit>,µm,points,µm,<no unit>,<no unit>,%,nm,µm,µm
23.09.2021,15:01:55,D:\Data\Lisa\results_SENSOFAR-S-wide\Grooves2\template --- BP-III-TFE_S-wide_carving_2000strokes_20210803_FLT8-7_35deg.mnt,BP-III-TFE_S-wide_carving_2000strokes_20210803_FLT8-7_35deg,X,223527.7841,16921,13.21086194,Y,31312.91452,2191,14.29813448,Z,Topography,0.000234666,102974.9012,21647.36984,91.54755319
23.09.2021,15:04:22,D:\Data\Lisa\results_SENSOFAR-S-wide\Grooves2\template --- BP-III-TFE_S-wide_carving_2000strokes_20210803_FLT8-8_35deg.mnt,BP-III-TFE_S-wide_carving_2000strokes_20210803_FLT8-8_35deg,X,223527.7841,16921,13.21086194,Y,29668.62905,2076,14.29813448,Z,Topography,0.002758484,34994.10041,22262.19803,27.62116691
23.09.2021,15:06:25,D:\Data\Lisa\results_SENSOFAR-S-wide\Grooves2\template --- BP-III-TFE_S-wide_carving_2000strokes_20210803_FLT8-9_35deg.mnt,BP-III-TFE_S-wide_carving_2000strokes_20210803_FLT8-9_35deg,X,223527.7841,16921,13.21086194,Y,26451.54879,1851,14.29813448,Z,Topography,0.00379301,150751.0018,21675.98056,101.5579483
23.09.2021,15:09:12,D:\Data\Lisa\results_SENSOFAR-S-wide\Grooves2\template --- BP-III-TFE_S-wide_carving_2000strokes_20210803_FLT8-10_45deg.mnt,BP-III-TFE_S-wide_carving_2000strokes_20210803_FLT8-10_45deg,X,222070.5891,12728,17.44877733,Y,35369.6382,2028,17.44925417,Z,Topography,0.000515257,1648302.419,26994.28472,1640.455194
23.09.2021,15:11:19,D:\Data\Lisa\results_SENSOFAR-S-wide\Grooves2\template --- BP-III-TFE_S-wide_carving_2000strokes_20210803_FLT8-11_45deg.mnt,BP-III-TFE_S-wide_carving_2000strokes_20210803_FLT8-11_45deg,X,222070.5891,12728,17.44877733,Y,28721.47236,1647,17.44925417,Z,Topography,0.001173495,53157.60062,23730.96548,98.06624279
23.09.2021,15:13:22,D:\Data\Lisa\results_SENSOFAR-S-wide\Grooves2\template --- BP-III-TFE_S-wide_carving_2000strokes_20210803_FLT8-12_45deg.mnt,BP-III-TFE_S-wide_carving_2000strokes_20210803_FLT8-12_45deg,X,222070.5891,12728,17.44877733,Y,33048.8874,1895,17.44925417,Z,Topography,5.285813672,26533.00031,23678.6231,31.63834891
23.09.2021,15:15:58,D:\Data\Lisa\results_SENSOFAR-S-wide\Grooves2\template --- BP-II-TFE_S-wide_carving_2000strokes_20210803_LYDIT5-8_45deg.mnt,BP-II-TFE_S-wide_carving_2000strokes_20210803_LYDIT5-8_45deg,X,218887.5591,15418,14.19780497,Y,30610.41128,2157,14.19777889,Z,Topography,0.022735319,79290.60093,23298.64269,133.0954687
23.09.2021,15:21:14,D:\Data\Lisa\results_SENSOFAR-S-wide\Grooves2\template --- BP-II-TFE_S-wide_carving_2000strokes_20210803_LYDIT5-9_45deg.mnt,BP-II-TFE_S-wide_carving_2000strokes_20210803_LYDIT5-9_45deg,X,218887.5591,15418,14.19780497,Y,31859.81582,2245,14.19777889,Z,Topography,0.024447172,188905.7022,22318.89454,185.9992271
23.09.2021,15:23:09,D:\Data\Lisa\results_SENSOFAR-S-wide\Grooves2\template --- BP-II-TFE_S-wide_carving_2000strokes_20210803_LYDIT5-10_45deg.mnt,BP-II-TFE_S-wide_carving_2000strokes_20210803_LYDIT5-10_45deg,X,218887.5591,15418,14.19780497,Y,31859.81582,2245,14.19777889,Z,Topography,0.27690424,34093.5004,24945.49746,86.05253668
23.09.2021,15:25:23,D:\Data\Lisa\results_SENSOFAR-S-wide\Grooves2\template --- BP-II-TFE_S-wide_carving_2000strokes_20210803_LYDIT5-11_35deg.mnt,BP-II-TFE_S-wide_carving_2000strokes_20210803_LYDIT5-11_35deg,X,240217.8622,16921,14.19727318,Y,31091.96096,2191,14.19724245,Z,Topography,0.005319104,57259.00067,24575.42682,90.60772366
